row_index,provenance,detrended,trendDetectedForDetrend,status,problem_count,warning_count,problems,warnings,raw_path,detrended_path
2994,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J004026.81+403504.4_TIC_600878917_TESSCut_raw.fits,
2995,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J191421.74+080627.7_TIC_208808119_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ZTF_J191421.74+080627.7_TIC_208808119_TESSCut_detrended.fits
2996,QLP,False,False,ok,0,0,,,,
2997,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J043830.88+693336.1_TIC_281190616_TESSCut_raw.fits,
2998,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_SSS_J113136.2-450154_TIC_163251911_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_SSS_J113136.2-450154_TIC_163251911_TESSCut_detrended.fits
2999,QLP,False,False,ok,0,0,,,,
3000,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_LMC_V0072_TIC_294985204_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_LMC_V0072_TIC_294985204_TESSCut_detrended.fits
3001,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J013335.44+643327.5_TIC_389847876_TESSCut_raw.fits,
3002,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J105326.67-155851.1_TIC_422279257_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J105326.67-155851.1_TIC_422279257_TESSCut_detrended.fits
3003,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J144137.48-454310.8_TIC_1172717681_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J144137.48-454310.8_TIC_1172717681_TESSCut_detrended.fits
3004,QLP,False,False,ok,0,0,,,,
3005,QLP,False,False,ok,0,0,,,,
3006,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J195043.33+303427.8_TIC_83638662_TESSCut_raw.fits,
3007,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J101821.72-313935.1_TIC_71304461_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J101821.72-313935.1_TIC_71304461_TESSCut_detrended.fits
3008,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J190321.10+123307.1_TIC_355302908_TESSCut_raw.fits,
3009,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_000-BPP-881_TIC_274030351_TESSCut_raw.fits,
3010,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J201657.27+343129.9_TIC_202685857_TESSCut_raw.fits,
3011,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J054450.63+413635.6_TIC_426340066_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J054450.63+413635.6_TIC_426340066_TESSCut_detrended.fits
3012,QLP,False,False,ok,0,0,,,,
3013,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J183552.29+191042.0_TIC_8187774_TESSCut_raw.fits,
3014,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J195233.05+311248.3_TIC_84738482_TESSCut_raw.fits,
3015,QLP,False,False,ok,0,0,,,,
3016,QLP,False,False,ok,0,0,,,,
3017,QLP,False,False,ok,0,0,,,,
3018,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J013425.61+363848.7_TIC_189526541_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J013425.61+363848.7_TIC_189526541_TESSCut_detrended.fits
3019,QLP,False,False,ok,0,0,,,,
3020,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_V0753_Aur_TIC_723367546_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_V0753_Aur_TIC_723367546_TESSCut_detrended.fits
3021,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J195237.22+375625.2_TIC_170360338_TESSCut_raw.fits,
3022,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J053905.33+322144.2_TIC_116143841_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ZTF_J053905.33+322144.2_TIC_116143841_TESSCut_detrended.fits
3023,SPOC,False,False,ok,0,0,,,,
3024,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J161619.63+432215.4_TIC_219497808_TESSCut_raw.fits,
3025,QLP,False,False,ok,0,0,,,,
3026,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J201955.36+405037.3_TIC_12993548_TESSCut_raw.fits,
3027,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J173606.64-714728.6_TIC_294059828_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J173606.64-714728.6_TIC_294059828_TESSCut_detrended.fits
3028,QLP,False,False,ok,0,0,,,,
3029,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J123409.01-441829.0_TIC_72760689_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J123409.01-441829.0_TIC_72760689_TESSCut_detrended.fits
3030,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_Raf_V052_TIC_396588275_TESSCut_raw.fits,
3031,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_WISE_J210701.7+431358_TIC_274528749_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_WISE_J210701.7+431358_TIC_274528749_TESSCut_detrended.fits
3032,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J071114.82+022433.1_TIC_293012820_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ZTF_J071114.82+022433.1_TIC_293012820_TESSCut_detrended.fits
3033,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J150611.06-500043.4_TIC_1151207739_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J150611.06-500043.4_TIC_1151207739_TESSCut_detrended.fits
3034,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J190939.60+045250.0_TIC_180599519_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ZTF_J190939.60+045250.0_TIC_180599519_TESSCut_detrended.fits
3035,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_CzeV2825_TIC_11471085_TESSCut_raw.fits,
3036,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J135725.74-743630.3_TIC_1004353826_TESSCut_raw.fits,
3037,QLP,False,False,ok,0,0,,,,
3038,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_USNO-B1.0_1398-0451707_TIC_197546598_TESSCut_raw.fits,
3039,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J135953.81-670638.9_TIC_448379059_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J135953.81-670638.9_TIC_448379059_TESSCut_detrended.fits
3040,QLP,False,False,ok,0,0,,,,
3041,QLP,False,False,ok,0,0,,,,
3042,QLP,False,False,ok,0,0,,,,
3043,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_000-BLB-572_TIC_459688018_TESSCut_raw.fits,
3044,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_KID_5878081_TIC_137627606_TESSCut_raw.fits,
3045,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J194844.33+414347.4_TIC_169176341_TESSCut_raw.fits,
